age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,label
24,Private,Bachelors,13,Married_civ_spouse,Tech_support,Husband,White,Male,50,United_States,0
49,Private,HS_grad,9,Separated,Adm_clerical,Unmarried,White,Female,40,United_States,0
25,Private,HS_grad,9,Never_married,Handlers_cleaners,Not_in_family,White,Male,35,United_States,0
57,Federal_gov,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,Black,Male,40,United_States,1
53,Private,HS_grad,9,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,38,United_States,0
44,Private,Masters,14,Divorced,Exec_managerial,Unmarried,White,Female,40,United_States,0
41,State_gov,Assoc_voc,11,Married_civ_spouse,Craft_repair,Husband,White,Male,40,United_States,0
29,Private,Assoc_voc,11,Never_married,Prof_specialty,Not_in_family,White,Male,43,United_States,0
25,Private,Some_college,10,Married_civ_spouse,Exec_managerial,Wife,Other,Female,40,United_States,0
47,Private,Prof_school,15,Married_civ_spouse,Prof_specialty,Wife,White,Female,60,Honduras,1
50,Federal_gov,Bachelors,13,Divorced,Exec_managerial,Not_in_family,White,Male,55,United_States,1
47,Self_emp_inc,HS_grad,9,Divorced,Exec_managerial,Not_in_family,White,Male,60,United_States,0
43,Private,Some_college,10,Married_civ_spouse,Tech_support,Husband,White,Male,40,United_States,1
46,Private,5th_6th,3,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,40,Mexico,0
35,Private,Assoc_voc,11,Married_civ_spouse,Other_service,Husband,White,Male,40,Puerto_Rico,0
41,Private,HS_grad,9,Married_civ_spouse,Adm_clerical,Husband,White,Male,48,United_States,0
30,Private,HS_grad,9,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,40,United_States,0
30,Private,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,40,United_States,0
48,Private,HS_grad,9,Married_civ_spouse,Transport_moving,Husband,White,Male,40,United_States,0
42,Private,Doctorate,16,Married_civ_spouse,Prof_specialty,Husband,White,Male,45,United_States,1
29,Private,Some_college,10,Divorced,Tech_support,Not_in_family,White,Male,58,United_States,0
36,Private,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,40,United_States,0
28,Private,Some_college,10,Divorced,Adm_clerical,Not_in_family,White,Female,40,United_States,0
53,Private,HS_grad,9,Married_civ_spouse,Adm_clerical,Wife,White,Female,40,United_States,1
49,Self_emp_inc,Some_college,10,Married_civ_spouse,Exec_managerial,Husband,White,Male,50,United_States,1
19,Private,Some_college,10,Never_married,Prof_specialty,Own_child,White,Male,32,United_States,0
31,Private,Bachelors,13,Separated,Sales,Own_child,Black,Female,40,United_States,0
29,Self_emp_not_inc,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,70,United_States,1
23,Private,Some_college,10,Never_married,Machine_op_inspct,Not_in_family,White,Male,40,United_States,0
79,Private,Some_college,10,Married_civ_spouse,Prof_specialty,Other_relative,White,Male,20,United_States,0
27,Private,HS_grad,9,Never_married,Other_service,Own_child,White,Male,40,Mexico,0
40,Private,Assoc_acdm,12,Married_civ_spouse,Adm_clerical,Husband,White,Male,40,United_States,0
18,Private,11th,7,Never_married,Other_service,Own_child,White,Female,22,United_States,0
31,Local_gov,7th_8th,4,Married_civ_spouse,Farming_fishing,Husband,White,Male,40,United_States,0
18,Private,HS_grad,9,Never_married,Sales,Not_in_family,White,Male,30,United_States,0
52,Private,Bachelors,13,Married_civ_spouse,Other_service,Husband,White,Male,40,Cuba,0
46,Private,HS_grad,9,Married_civ_spouse,Other_service,Wife,White,Female,40,United_States,0
59,Private,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,48,United_States,0
44,Private,HS_grad,9,Divorced,Craft_repair,Not_in_family,White,Female,40,United_States,1
53,Private,HS_grad,9,Divorced,Sales,Own_child,White,Female,35,United_States,0
49,Local_gov,HS_grad,9,Married_civ_spouse,Protective_serv,Husband,White,Male,40,United_States,1
33,Private,Masters,14,Married_civ_spouse,Prof_specialty,Husband,White,Male,50,United_States,0
30,Private,9th,5,Never_married,Sales,Not_in_family,White,Male,40,United_States,0
43,Federal_gov,Doctorate,16,Never_married,Prof_specialty,Not_in_family,White,Female,50,United_States,1
57,Private,Assoc_voc,11,Married_civ_spouse,Prof_specialty,Husband,White,Male,40,United_States,0
37,Private,Some_college,10,Divorced,Craft_repair,Unmarried,White,Female,40,United_States,0
28,Private,Some_college,10,Divorced,Machine_op_inspct,Unmarried,Black,Female,25,United_States,0
34,Local_gov,Bachelors,13,Married_civ_spouse,Protective_serv,Husband,White,Male,40,United_States,1
29,Local_gov,Some_college,10,Never_married,Handlers_cleaners,Not_in_family,White,Male,50,United_States,0
48,Self_emp_not_inc,Doctorate,16,Married_civ_spouse,Prof_specialty,Husband,White,Male,60,United_States,1
37,Private,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,48,United_States,1
48,Private,Assoc_acdm,12,Divorced,Exec_managerial,Unmarried,White,Female,40,England,0
32,Federal_gov,HS_grad,9,Never_married,Other_service,Own_child,Black,Male,40,United_States,0
76,Private,Masters,14,Married_civ_spouse,Exec_managerial,Husband,White,Male,40,United_States,1
44,Private,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,60,United_States,1
47,Self_emp_not_inc,Masters,14,Never_married,Prof_specialty,Not_in_family,White,Female,50,United_States,0
20,Private,Some_college,10,Never_married,Tech_support,Own_child,White,Female,40,United_States,0
29,Private,HS_grad,9,Never_married,Craft_repair,Not_in_family,White,Male,40,United_States,0
32,Self_emp_inc,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,40,United_States,1
30,Private,11th,7,Never_married,Handlers_cleaners,Own_child,White,Male,40,United_States,0
31,Local_gov,HS_grad,9,Never_married,Adm_clerical,Not_in_family,White,Female,40,United_States,0
42,Private,HS_grad,9,Married_civ_spouse,Handlers_cleaners,Husband,White,Male,40,United_States,0
24,Private,Bachelors,13,Never_married,Sales,Other_relative,White,Male,40,United_States,0
38,Private,Prof_school,15,Married_civ_spouse,Prof_specialty,Husband,White,Male,40,United_States,1
56,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Other_service,Husband,White,Male,50,Canada,1
28,Private,Some_college,10,Married_civ_spouse,Sales,Wife,White,Female,25,United_States,0
36,Private,HS_grad,9,Never_married,Machine_op_inspct,Own_child,White,Female,40,United_States,0
53,Private,9th,5,Married_civ_spouse,Handlers_cleaners,Husband,White,Male,50,United_States,0
56,Self_emp_inc,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,50,United_States,0
49,Local_gov,Assoc_voc,11,Married_civ_spouse,Craft_repair,Husband,Black,Male,40,United_States,1
55,Private,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,56,United_States,0
22,Private,HS_grad,9,Never_married,Craft_repair,Not_in_family,White,Male,41,United_States,0
21,Private,Some_college,10,Never_married,Other_service,Own_child,White,Female,40,United_States,0
40,Private,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,60,United_States,0
30,Private,Bachelors,13,Never_married,Exec_managerial,Own_child,Black,Male,40,Germany,0
29,State_gov,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,50,United_States,1
19,Private,Some_college,10,Never_married,Other_service,Own_child,Black,Male,35,United_States,0
47,Private,Bachelors,13,Married_civ_spouse,Exec_managerial,Wife,White,Female,40,United_States,1
20,Private,Some_college,10,Never_married,Adm_clerical,Own_child,White,Female,28,United_States,0
31,Private,Assoc_acdm,12,Married_civ_spouse,Adm_clerical,Husband,White,Male,40,United_States,1
39,Private,Some_college,10,Divorced,Craft_repair,Not_in_family,White,Male,40,United_States,0
28,Private,Assoc_acdm,12,Never_married,Sales,Not_in_family,White,Female,60,United_States,0
24,Private,HS_grad,9,Never_married,Other_service,Not_in_family,White,Female,40,United_States,0
38,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,35,United_States,0
37,Private,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,50,United_States,0
46,Private,Assoc_acdm,12,Divorced,Tech_support,Not_in_family,Black,Female,36,United_States,0
38,Federal_gov,Masters,14,Married_civ_spouse,Prof_specialty,Husband,White,Male,40,Iran,1
43,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,60,United_States,0
27,Private,Assoc_voc,11,Married_civ_spouse,Adm_clerical,Wife,White,Female,35,United_States,0
20,Private,Some_college,10,Never_married,Sales,Own_child,White,Male,20,United_States,0
49,Private,Some_college,10,Married_civ_spouse,Craft_repair,Husband,Asian_Pac_Islander,Male,40,United_States,1
61,Self_emp_inc,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,40,United_States,0
27,Private,Some_college,10,Never_married,Sales,Own_child,White,Female,40,United_States,0
19,Private,Some_college,10,Never_married,Other_service,Own_child,White,Male,30,Mexico,0
45,Private,Assoc_voc,11,Never_married,Prof_specialty,Not_in_family,White,Female,40,United_States,1
70,Private,Some_college,10,Never_married,Tech_support,Other_relative,White,Male,40,United_States,0
31,Private,HS_grad,9,Never_married,Transport_moving,Unmarried,Black,Female,30,United_States,0
22,Private,Some_college,10,Married_civ_spouse,Other_service,Husband,White,Male,24,United_States,0
36,Private,HS_grad,9,Widowed,Other_service,Unmarried,White,Female,24,United_States,0
64,Private,11th,7,Married_civ_spouse,Craft_repair,Husband,White,Male,40,United_States,0
47,Local_gov,Some_college,10,Divorced,Adm_clerical,Unmarried,White,Female,38,Mexico,0
34,Private,HS_grad,9,Never_married,Adm_clerical,Not_in_family,White,Female,40,United_States,0
33,Private,Bachelors,13,Never_married,Exec_managerial,Other_relative,Asian_Pac_Islander,Female,40,Philippines,0
21,Private,HS_grad,9,Never_married,Craft_repair,Own_child,White,Male,35,United_States,0
48,Private,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,46,United_States,0
23,Private,Bachelors,13,Never_married,Handlers_cleaners,Not_in_family,White,Male,40,United_States,0
71,Self_emp_not_inc,Some_college,10,Separated,Sales,Unmarried,Black,Male,2,United_States,0
29,Private,HS_grad,9,Divorced,Craft_repair,Not_in_family,White,Male,60,United_States,0
42,Private,Bachelors,13,Separated,Other_service,Other_relative,Black,Male,50,United_States,0
25,Private,HS_grad,9,Never_married,Other_service,Unmarried,White,Female,40,United_States,0
44,Self_emp_inc,Masters,14,Divorced,Exec_managerial,Unmarried,Asian_Pac_Islander,Female,40,United_States,0
28,Private,HS_grad,9,Never_married,Exec_managerial,Not_in_family,Asian_Pac_Islander,Female,40,England,0
45,Self_emp_not_inc,Masters,14,Married_civ_spouse,Sales,Husband,White,Male,40,United_States,1
36,Private,Some_college,10,Divorced,Other_service,Unmarried,White,Female,40,Mexico,0
39,Federal_gov,Assoc_acdm,12,Never_married,Exec_managerial,Not_in_family,White,Male,42,United_States,0
46,State_gov,Masters,14,Widowed,Protective_serv,Unmarried,White,Male,40,United_States,0
18,Private,11th,7,Never_married,Handlers_cleaners,Own_child,White,Male,16,United_States,0
66,Local_gov,Assoc_voc,11,Widowed,Prof_specialty,Not_in_family,White,Female,20,United_States,0
27,Private,HS_grad,9,Never_married,Other_service,Not_in_family,White,Male,40,United_States,0
28,State_gov,HS_grad,9,Married_civ_spouse,Protective_serv,Husband,White,Male,40,United_States,0
51,Private,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,40,United_States,1
27,Private,Bachelors,13,Never_married,Craft_repair,Not_in_family,White,Male,50,United_States,0
28,State_gov,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,40,United_States,1
27,Private,HS_grad,9,Married_spouse_absent,Sales,Unmarried,White,Female,25,United_States,0
21,Private,HS_grad,9,Never_married,Craft_repair,Own_child,Black,Male,40,United_States,0
34,Private,HS_grad,9,Never_married,Handlers_cleaners,Not_in_family,Black,Male,40,United_States,0
18,Private,HS_grad,9,Never_married,Other_service,Own_child,White,Male,12,United_States,0
33,Private,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,65,United_States,0
44,Local_gov,Some_college,10,Married_civ_spouse,Exec_managerial,Husband,Black,Male,38,United_States,1
43,Private,Some_college,10,Divorced,Adm_clerical,Not_in_family,White,Female,40,United_States,0
30,Private,Some_college,10,Never_married,Craft_repair,Not_in_family,Black,Male,45,United_States,0
40,Private,7th_8th,4,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,40,Mexico,1
37,Federal_gov,Some_college,10,Married_civ_spouse,Adm_clerical,Husband,White,Male,42,United_States,1
34,Private,HS_grad,9,Married_civ_spouse,Adm_clerical,Husband,Black,Male,40,United_States,0
41,Self_emp_not_inc,Bachelors,13,Divorced,Exec_managerial,Not_in_family,White,Female,40,United_States,0
31,Private,Masters,14,Married_civ_spouse,Prof_specialty,Wife,White,Female,50,United_States,0
58,State_gov,Doctorate,16,Married_civ_spouse,Prof_specialty,Husband,White,Male,1,United_States,1
38,Private,Some_college,10,Divorced,Machine_op_inspct,Not_in_family,Black,Female,28,United_States,0
24,Private,Some_college,10,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,40,United_States,0
41,Local_gov,Bachelors,13,Married_civ_spouse,Craft_repair,Husband,Black,Male,40,United_States,0
47,Private,Some_college,10,Married_civ_spouse,Tech_support,Husband,White,Male,45,United_States,0
41,Federal_gov,Bachelors,13,Married_civ_spouse,Tech_support,Husband,White,Male,24,United_States,0
23,Private,5th_6th,3,Married_civ_spouse,Transport_moving,Other_relative,White,Male,40,Mexico,0
36,Private,Some_college,10,Divorced,Craft_repair,Not_in_family,White,Male,40,United_States,0
40,Federal_gov,Masters,14,Never_married,Exec_managerial,Not_in_family,White,Female,55,United_States,1
35,Private,Masters,14,Married_civ_spouse,Prof_specialty,Other_relative,White,Male,40,United_States,1
24,Self_emp_not_inc,HS_grad,9,Never_married,Sales,Not_in_family,White,Male,40,United_States,0
26,Private,Masters,14,Never_married,Prof_specialty,Not_in_family,White,Female,40,United_States,0
51,Private,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,50,United_States,1
42,Local_gov,Some_college,10,Never_married,Prof_specialty,Not_in_family,White,Female,40,United_States,0
37,State_gov,HS_grad,9,Divorced,Adm_clerical,Unmarried,White,Female,35,United_States,0
18,Private,11th,7,Never_married,Sales,Own_child,White,Female,40,United_States,0
36,Private,Bachelors,13,Married_civ_spouse,Other_service,Husband,Black,Male,36,United_States,1
35,Private,HS_grad,9,Divorced,Craft_repair,Not_in_family,White,Male,60,United_States,0
58,Self_emp_inc,HS_grad,9,Married_civ_spouse,Sales,Wife,White,Female,35,United_States,1
17,Private,11th,7,Never_married,Sales,Own_child,White,Female,12,United_States,0
44,Local_gov,HS_grad,9,Married_civ_spouse,Transport_moving,Husband,Black,Male,40,United_States,0
37,Private,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,40,United_States,1
35,Private,Some_college,10,Never_married,Sales,Not_in_family,Amer_Indian_Eskimo,Female,40,United_States,0
60,Private,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,Asian_Pac_Islander,Male,40,United_States,0
54,Self_emp_inc,7th_8th,4,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,40,United_States,1
37,Private,Bachelors,13,Never_married,Exec_managerial,Not_in_family,Black,Male,60,United_States,1
50,Private,Assoc_acdm,12,Divorced,Sales,Not_in_family,White,Female,40,United_States,0
38,Private,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,50,Poland,0
45,Private,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,55,United_States,0
25,Private,10th,6,Never_married,Craft_repair,Not_in_family,White,Male,40,United_States,0
31,Private,Some_college,10,Married_civ_spouse,Handlers_cleaners,Husband,White,Male,40,United_States,0
90,Private,HS_grad,9,Never_married,Other_service,Not_in_family,Black,Male,40,United_States,0
54,Private,HS_grad,9,Married_civ_spouse,Adm_clerical,Husband,Black,Male,20,United_States,0
53,Local_gov,Preschool,1,Never_married,Machine_op_inspct,Not_in_family,White,Female,35,United_States,0
18,Private,HS_grad,9,Never_married,Sales,Own_child,White,Female,40,United_States,0
66,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Farming_fishing,Husband,White,Male,50,United_States,0
75,Private,Assoc_voc,11,Widowed,Adm_clerical,Not_in_family,White,Female,20,Columbia,0
65,Private,HS_grad,9,Divorced,Adm_clerical,Not_in_family,White,Female,40,United_States,0
35,Private,11th,7,Separated,Transport_moving,Not_in_family,Black,Male,40,United_States,0
41,Private,HS_grad,9,Divorced,Sales,Unmarried,Black,Female,38,United_States,0
25,Private,Some_college,10,Never_married,Adm_clerical,Not_in_family,White,Male,42,United_States,0
33,Private,Some_college,10,Divorced,Craft_repair,Other_relative,Other,Female,40,United_States,0
28,Private,Prof_school,15,Never_married,Prof_specialty,Not_in_family,White,Male,55,United_States,1
59,State_gov,HS_grad,9,Married_civ_spouse,Other_service,Husband,White,Male,40,United_States,0
40,State_gov,Some_college,10,Never_married,Adm_clerical,Not_in_family,White,Female,38,United_States,0
41,Private,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,50,Iran,1
38,Local_gov,Masters,14,Married_civ_spouse,Exec_managerial,Husband,White,Male,70,United_States,1
23,Private,HS_grad,9,Never_married,Transport_moving,Own_child,White,Male,40,United_States,0
40,Private,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,40,United_States,1
41,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Other_service,Wife,White,Female,20,United_States,0
24,State_gov,Assoc_acdm,12,Married_civ_spouse,Protective_serv,Husband,White,Male,50,United_States,0
38,Private,Some_college,10,Divorced,Craft_repair,Not_in_family,White,Male,40,United_States,0
58,Private,HS_grad,9,Married_civ_spouse,Adm_clerical,Husband,White,Male,45,United_States,1
32,Private,HS_grad,9,Never_married,Other_service,Not_in_family,White,Female,34,United_States,0
40,Private,Assoc_acdm,12,Married_civ_spouse,Tech_support,Husband,White,Male,60,United_States,1
41,Private,Prof_school,15,Married_civ_spouse,Prof_specialty,Wife,White,Female,40,United_States,1
42,Private,Bachelors,13,Married_civ_spouse,Adm_clerical,Wife,Black,Female,40,United_States,0
59,Local_gov,10th,6,Widowed,Other_service,Unmarried,Black,Female,30,United_States,0
19,Local_gov,Some_college,10,Never_married,Adm_clerical,Own_child,White,Male,40,United_States,0
58,Private,Some_college,10,Never_married,Transport_moving,Not_in_family,White,Male,20,United_States,0
42,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Farming_fishing,Husband,Asian_Pac_Islander,Male,40,Cambodia,1
20,Private,HS_grad,9,Never_married,Other_service,Own_child,White,Female,40,United_States,0
32,Private,HS_grad,9,Separated,Other_service,Not_in_family,White,Female,30,United_States,0
45,Private,Assoc_voc,11,Widowed,Exec_managerial,Not_in_family,White,Female,45,United_States,0
50,Private,7th_8th,4,Divorced,Craft_repair,Not_in_family,White,Male,40,United_States,0
36,Private,Bachelors,13,Divorced,Prof_specialty,Own_child,White,Female,40,United_States,0
45,Private,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,60,United_States,0
17,Private,11th,7,Never_married,Other_service,Own_child,White,Male,12,United_States,0
59,Private,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,40,United_States,0
26,Private,11th,7,Married_civ_spouse,Craft_repair,Husband,White,Male,40,United_States,0
37,Self_emp_inc,Some_college,10,Married_civ_spouse,Exec_managerial,Husband,Asian_Pac_Islander,Male,75,Thailand,1
64,Private,HS_grad,9,Married_civ_spouse,Exec_managerial,Husband,White,Male,40,United_States,1
33,Private,Bachelors,13,Never_married,Prof_specialty,Not_in_family,White,Female,45,United_States,0
33,Private,HS_grad,9,Married_civ_spouse,Craft_repair,Wife,White,Female,40,United_States,1
61,Private,HS_grad,9,Married_civ_spouse,Exec_managerial,Husband,White,Male,40,United_States,1
17,Private,9th,5,Never_married,Other_service,Own_child,White,Male,24,United_States,0
50,Self_emp_not_inc,Masters,14,Married_civ_spouse,Farming_fishing,Husband,White,Male,98,United_States,0
27,Local_gov,Masters,14,Never_married,Prof_specialty,Own_child,White,Male,35,United_States,0
30,Private,HS_grad,9,Divorced,Prof_specialty,Own_child,White,Female,40,United_States,0
43,Private,HS_grad,9,Married_civ_spouse,Handlers_cleaners,Husband,Black,Male,40,United_States,0
44,Private,Some_college,10,Married_civ_spouse,Craft_repair,Husband,White,Male,40,United_States,1
35,Private,Some_college,10,Never_married,Exec_managerial,Not_in_family,White,Female,40,United_States,0
25,Private,Some_college,10,Never_married,Tech_support,Own_child,White,Female,40,United_States,0
24,Private,Some_college,10,Married_civ_spouse,Machine_op_inspct,Wife,White,Female,48,United_States,1
22,Private,Bachelors,13,Never_married,Prof_specialty,Not_in_family,White,Female,15,Germany,0
42,Local_gov,Some_college,10,Married_civ_spouse,Craft_repair,Husband,White,Male,40,United_States,1
34,Private,Assoc_acdm,12,Divorced,Sales,Unmarried,Black,Female,45,United_States,0
60,Private,Bachelors,13,Divorced,Prof_specialty,Not_in_family,White,Female,42,United_States,0
21,Private,HS_grad,9,Never_married,Handlers_cleaners,Own_child,White,Male,40,United_States,0
57,Federal_gov,Masters,14,Married_civ_spouse,Sales,Husband,White,Male,40,United_States,1
41,Private,Prof_school,15,Married_civ_spouse,Prof_specialty,Husband,White,Male,60,United_States,1
50,Private,Some_college,10,Divorced,Other_service,Not_in_family,White,Male,45,United_States,0
25,Private,Bachelors,13,Never_married,Exec_managerial,Not_in_family,White,Female,40,United_States,0
50,Private,7th_8th,4,Married_civ_spouse,Craft_repair,Husband,White,Male,40,Ecuador,0
36,Private,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,45,United_States,0
31,Private,HS_grad,9,Divorced,Prof_specialty,Not_in_family,White,Female,40,United_States,0
29,Local_gov,Bachelors,13,Never_married,Protective_serv,Not_in_family,White,Male,56,United_States,0
21,Private,Some_college,10,Never_married,Sales,Own_child,White,Male,45,United_States,0
27,Private,Bachelors,13,Never_married,Tech_support,Unmarried,Black,Female,40,United_States,0
65,Private,HS_grad,9,Married_civ_spouse,Transport_moving,Husband,White,Male,16,United_States,0
37,Self_emp_inc,Bachelors,13,Divorced,Sales,Not_in_family,White,Female,60,United_States,0
24,Private,HS_grad,9,Never_married,Craft_repair,Own_child,White,Male,40,United_States,0
38,Private,HS_grad,9,Divorced,Sales,Not_in_family,White,Male,80,United_States,0
48,Private,Bachelors,13,Married_civ_spouse,Adm_clerical,Husband,White,Male,40,United_States,1
21,Private,Some_college,10,Never_married,Other_service,Not_in_family,Asian_Pac_Islander,Female,25,United_States,0
31,Private,HS_grad,9,Married_civ_spouse,Transport_moving,Husband,White,Male,45,United_States,1
55,Private,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,40,United_States,1
24,Private,Some_college,10,Married_civ_spouse,Adm_clerical,Wife,Asian_Pac_Islander,Female,40,Laos,0
43,Private,HS_grad,9,Divorced,Adm_clerical,Not_in_family,White,Female,40,United_States,0
26,Private,Assoc_acdm,12,Never_married,Tech_support,Not_in_family,White,Male,45,United_States,0
46,Private,Assoc_acdm,12,Never_married,Prof_specialty,Not_in_family,White,Female,33,United_States,0
35,Private,Assoc_acdm,12,Married_civ_spouse,Adm_clerical,Husband,White,Male,40,United_States,1
41,Self_emp_inc,Some_college,10,Married_civ_spouse,Farming_fishing,Husband,White,Male,54,United_States,1
26,Private,Bachelors,13,Never_married,Sales,Not_in_family,White,Male,40,United_States,0
34,Private,Masters,14,Married_civ_spouse,Exec_managerial,Husband,Asian_Pac_Islander,Male,35,Taiwan,1
36,Self_emp_not_inc,Bachelors,13,Divorced,Prof_specialty,Not_in_family,Black,Female,40,United_States,1
22,Private,Some_college,10,Never_married,Sales,Own_child,White,Male,15,United_States,0
24,Private,Some_college,10,Never_married,Machine_op_inspct,Not_in_family,White,Male,40,United_States,0
77,Self_emp_not_inc,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,40,United_States,0
